"","X","cas","toxpi","average_VAM_scores","mesh","status","compound_name","Drug_Matrix_Rat_invitro_Single_Dose_1_day","Drug_Matrix_Rat_invivo_Single_Dose_1_day","Drug_Matrix_Rat_invivo_Repeated_Dose_3_days","Drug_Matrix_Rat_invivo_Repeated_Dose_5_days","TG_GATEs_Rat_invivo_Single_Dose_High_1_day","TG_GATEs_Rat_invivo_Single_Dose_Low_1_day","TG_GATEs_Rat_invivo_Single_Dose_Middle_1_day","Consensus_Rat_invitro_DM_TG_GATEs","Consensus_LINCS_HEPG2","PPI_STRINGdb","TG_Gates_Rat_invivo_Repeated_15_day_High","TG_Gates_Rat_invivo_Repeated_15_day_Low","TG_Gates_Rat_invivo_Repeated_15_day_Middle","TG_Gates_Rat_invivo_Repeated_29_day_High","TG_Gates_Rat_invivo_Repeated_29_day_Low","TG_Gates_Rat_invivo_Repeated_29_day_Middle","TG_Gates_Rat_invivo_Repeated_8_day_High","TG_Gates_Rat_invivo_Repeated_8_day_Low","TG_Gates_Rat_invivo_Repeated_8_day_Middle","TG_GATEs_Human_invitro_Single_Dose_1_day","TG_GATEs_Rat_invitro_Single_Dose_1_day","TG_GATEs_Rat_invivo_Repeated_Dose_15_days","TG_GATEs_Rat_invivo_Repeated_Dose_29_days","TG_GATEs_Rat_invivo_Repeated_Dose_8_days","unk_VAM_scores"
"C009505","","101-77-9",0.057862928,0.57694470155373,"C009505","edc","4,4'-diaminodiphenylmethane",0.409249005494703,0.587174199039985,0.788723684174892,NA,0.622968390836918,0.49826752227005,0.738801714465158,0.656468371964017,NA,0.902239478409374,0.665391415616406,0.158333965118492,0.576917954769093,0.701963376572558,0.547450725296402,0.815091551213533,0.435321959734277,0.447452996423419,0.407309899565636,0.588108893818647,0.445535152678992,0.848022427221085,0.201659504004386,0.650331245494039,0.57694470155373
"C031538","","101-84-8",0.062902348,0.698612310080537,"C031538","unk","phenyl ether",0.70956551471979,NA,NA,0.611134248079152,0.78776521998962,0.688328960086719,0.818610606100609,0.667536949339057,0.797988117096485,0.988011115836916,0.88180806303343,0.654968487222243,0.667416708346779,0.868747607345766,0.904950644461134,0.938020646356702,0.658207663287851,0.190109385596481,0.330443165606633,0.193284003437945,NA,NA,NA,0.916736785586899,0.698612310080537
"C080043","","101-86-0",0.066797085,0.711648572311061,"C080043","unk","hexyl cinnamic aldehyde",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.711648572311061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.711648572311061
"C027773","","102-06-7",0.060429552,0.0626096559476082,"C027773","unk","diphenylguanidine",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0626096559476082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0626096559476082
"C009546","","102-71-6",0.064928086,0.497686866169535,"C009546","edc","triethanolamine",0.51739659861756,NA,NA,NA,0.616596656595392,0.416757363043493,0.676513311771832,0.322724553851738,0.765766389635844,0.810925676471343,0.640923184791797,0.32448343888476,0.471059763020175,0.732006749856345,0.652743980517247,0.620885017108978,0.337964752380615,0.678971491581862,0.391491575070918,0.0633527164511989,0.353418118014364,0.589821156504302,0.0534050390873638,0.414216656303107,0.497686866169535
"D014215","","102-76-1",0.053089145,0.819812287758025,"D014215","unk","Triacetin",0.993243270109911,0.535580834351847,0.999862827067512,0.988656047044986,0.784069520228156,0.508761057295399,0.988213433651628,0.888221740098523,0.847095556230083,0.975803405516995,0.991210985668527,0.460717823888469,0.928733128486737,0.994335026678813,0.403977069340394,0.995707014665793,0.691805974748939,0.975135108958733,0.446308618212182,0.512500657456233,0.950581649520367,0.998636492187585,0.9186012441752,0.897736420609584,0.819812287758025
"D006534","","1024-57-3",0.092319537,0.965841192563439,"D006534","unk","Heptachlor Epoxide",0.994847822087385,0.997002787173586,0.998776810133832,0.998945035774624,0.975543236797766,0.896662791963097,0.997925715622313,0.997840543508932,0.999741391379625,0.997877496558494,0.982648668545411,0.975289137979623,0.990901046413277,0.994340395646852,0.99497017184511,0.998861679310153,0.651330265762246,0.985850639853473,0.977029110770063,0.965765421802592,0.883740863246751,0.997667852049821,0.950426758552877,0.976202978744624,0.965841192563439
"C014655","","10265-92-6",0.047717058,0.834141641556135,"C014655","edc","methamidophos",0.936404309348242,0.927688038618185,0.94510309189676,0.904391978333326,0.838903545285527,0.917593896417093,0.805794430603961,0.890864277296621,0.900488038946649,0.850309623408335,0.943842585702408,0.685534027011491,0.753762661923015,0.959964649016767,0.967611048795299,0.948371890885713,0.699869779981326,0.834865019888079,0.799194406747203,0.650372137028269,0.414873168993417,0.89918069679839,0.58878248619673,0.955633608224425,0.834141641556135
"C036758","","103-11-7",0.067452296,0.653543511265429,"C036758","unk","2-ethylhexyl acrylate",0.400547994055312,0.903254174542463,0.653193465471496,0.606418166014974,0.666138336598993,0.620213425129294,0.97743720741867,0.831518542226215,0.200521094464631,0.868591624556669,0.809535800742053,0.2603848589173,0.868130909599101,0.698337895076898,0.527454396894417,0.915587628704362,0.253436901168888,0.96857587279369,0.0325530531672805,0.571080599664715,0.594889781207292,0.993375266895015,0.499318805736836,0.96454846932374,0.653543511265429
"C013966","","103-23-1",0.070854266,0.668942838713588,"C013966","edc","dioctyl adipate",0.744340542936847,0.923512039766353,0.893615498795846,0.878888087164382,0.626531575685951,0.65127862087703,0.609678944237449,0.863707485803621,0.75930515981592,0.631303301526764,0.830646193615013,0.496700024270107,0.540332291623247,0.731692093145294,0.639435824302037,0.85001515493161,0.451846117919134,0.711511306870503,0.56784872895248,0.404354745368684,0.0515584111943516,0.896904050654174,0.470807240951434,0.82881468871787,0.668942838713588
